Date,Callsign,Grid,Freq (MHz),Lat,Lon
2024-05-10,W2NAF,FN21ei,15.0,41.33333206176758,-75.66666412353516
Hour (UTC),Doppler (Hz),Spread (mHz),Level (dB)
0.75,-1.1730300188064575,405.0,80.39
0.76667,-1.210669994354248,404.0,81.23
0.78333,-1.0219099521636963,435.0,81.09
0.8,-0.7695000171661377,429.0,82.93
0.81667,-0.6833999752998352,460.0,84.08
0.83333,-0.6331300139427185,508.0,85.71
0.85,-0.5602200031280518,472.0,87.22
0.86667,-0.603630006313324,472.0,87.79
0.88333,-0.6599400043487549,380.0,85.74
0.9,-0.5220999717712402,354.0,84.29
0.91667,-0.45052000880241394,276.0,85.18
0.93333,-0.561240017414093,295.0,83.93
0.95,-0.5709400177001953,249.0,83.84
0.96667,-0.5507299900054932,255.0,83.23
0.98333,-0.4706900119781494,228.0,82.22
1.0,-0.4717699885368347,201.0,82.05
1.01667,-0.4495899975299835,222.0,80.38
1.03333,-0.5499500036239624,232.0,78.43
1.05,-0.5968300104141235,193.0,77.14
1.06667,-0.8302099704742432,231.0,77.36
1.08333,-0.8372300267219543,278.0,74.4
1.1,-0.7000499963760376,334.0,74.6
1.11667,-0.5857800245285034,398.0,77.02
1.13333,-0.46309998631477356,430.0,74.97
1.15,-0.41258999705314636,448.0,69.05
1.16667,-0.4792200028896332,522.0,76.09
1.18333,-0.5471900105476379,493.0,74.5
1.2,-0.6711199879646301,561.0,76.18
1.21667,-0.8348100185394287,453.0,79.73
1.23333,-0.4623900055885315,354.0,82.86
1.25,-0.6770600080490112,450.0,80.5
1.26667,-1.0174700021743774,482.0,79.16
1.28333,-0.9417099952697754,382.0,79.72
1.3,-0.9275799989700317,341.0,81.02
1.31667,-1.0659199953079224,277.0,83.55
1.33333,-0.6612399816513062,227.0,84.01
1.35,-0.516979992389679,182.0,83.96
1.36667,-0.30428001284599304,203.0,79.97
1.38333,-0.26965001225471497,160.0,81.03
1.4,-0.26666000485420227,154.0,82.33
1.41667,-0.14151999354362488,163.0,81.71
1.43333,-0.09363999962806702,137.0,87.1
1.45,-0.28937000036239624,144.0,81.22
1.46667,-0.09690999984741211,159.0,69.14
1.48333,-0.2034900039434433,168.0,79.38
1.5,-0.31299999356269836,42.0,80.44
1.51667,-0.3184399902820587,130.0,81.75
1.53333,-0.35653001070022583,75.0,78.57
1.55,-0.35760998725891113,240.0,72.58
1.56667,-0.258650004863739,265.0,67.23
1.58333,-0.19148999452590942,245.0,67.98
1.6,-0.23973999917507172,179.0,69.69
1.61667,-0.3726300001144409,404.0,64.83
1.63333,-0.2855699956417084,261.0,67.43
1.65,-0.273250013589859,239.0,70.16
1.66667,-0.26458001136779785,171.0,74.7
1.68333,-0.17531000077724457,154.0,75.48
1.7,-0.37759000062942505,233.0,76.69
1.71667,-0.27483999729156494,224.0,76.18
1.73333,-0.5697000026702881,205.0,80.57
1.75,-0.5063899755477905,302.0,74.25
1.76667,-0.3474999964237213,209.0,78.18
1.78333,-0.2473199963569641,163.0,77.5
1.8,-0.3502100110054016,225.0,74.07
1.81667,-0.27998998761177063,85.0,80.87
1.83333,-0.28345000743865967,121.0,82.87
1.85,-0.26927000284194946,109.0,80.62
1.86667,-0.3132300078868866,31.0,82.72
1.88333,-0.26985999941825867,266.0,73.79
1.9,-0.1967799961566925,142.0,74.22
1.91667,-0.20239999890327454,155.0,72.41
1.93333,-0.17959000170230865,103.0,74.12
1.95,-0.18485000729560852,154.0,73.03
1.96667,-0.12522999942302704,58.0,78.44
1.98333,-0.10627000033855438,89.0,80.88
2.0,-0.10254000127315521,113.0,78.81
2.01667,-0.12309999763965607,136.0,75.18
2.03333,-0.09668000042438507,176.0,71.7
2.05,-0.13648000359535217,187.0,71.84
2.06667,-0.08958999812602997,176.0,72.89
2.08333,-0.12848000228405,320.0,68.29
2.1,-0.22032000124454498,252.0,70.28
2.11667,-0.2851000130176544,219.0,72.02
2.13333,-0.3391999900341034,165.0,74.63
2.15,-0.3387100100517273,178.0,79.44
2.16667,-0.15578000247478485,225.0,85.54
2.18333,-0.12044999748468399,252.0,82.71
2.2,-0.29622000455856323,388.0,74.35
2.21667,-0.5720499753952026,551.0,70.53
2.23333,-0.14841000735759735,210.0,74.43
2.25,-0.022260000929236412,183.0,83.38
2.26667,-0.290120005607605,504.0,72.64
2.28333,-0.31773999333381653,287.0,75.58
2.3,-0.2265399992465973,208.0,80.76
2.31667,-0.1496099978685379,306.0,77.81
2.33333,-0.2451000064611435,160.0,80.33
2.35,-0.2822999954223633,154.0,84.04
2.36667,-0.3767699897289276,207.0,85.19
2.38333,-0.3950900137424469,188.0,76.85
2.4,-0.3995699882507324,198.0,76.75
2.41667,-0.33581000566482544,183.0,76.46
2.43333,-0.33542001247406006,183.0,72.76
2.45,-0.15995000302791595,185.0,74.21
2.46667,-0.2534399926662445,234.0,72.61
2.48333,-0.3764199912548065,391.0,67.35
2.5,-0.41374000906944275,390.0,67.33
2.51667,-0.30140000581741333,319.0,68.39
2.53333,-0.487199991941452,355.0,70.48
2.55,-0.4818800091743469,184.0,75.75
2.56667,-0.4146000146865845,243.0,73.62
2.58333,-0.4113999903202057,201.0,76.12
2.6,-0.3472999930381775,250.0,74.0
2.61667,-0.03863000124692917,329.0,69.76
2.63333,0.03260999917984009,261.0,71.88
2.65,0.13040000200271606,303.0,71.97
2.66667,-0.0692100003361702,394.0,72.11
2.68333,0.10165999829769135,309.0,73.48
2.7,0.04357000067830086,264.0,74.13
2.71667,-0.059790000319480896,262.0,74.08
2.73333,-0.12056999653577805,237.0,70.5
2.75,0.04668999835848808,103.0,84.42
2.76667,0.023879999294877052,192.0,84.6
2.78333,0.2113099992275238,191.0,85.03
2.8,0.12729999423027039,272.0,84.32
2.81667,-0.07395000010728836,285.0,80.36
2.83333,-0.12880000472068787,356.0,79.32
2.85,-0.11495999991893768,327.0,81.3
2.86667,0.04504000023007393,293.0,78.85
2.88333,-0.09115999937057495,262.0,80.54
2.9,-0.00686000008136034,330.0,76.81
2.91667,-0.03344999998807907,395.0,76.64
2.93333,-0.056210000067949295,448.0,75.43
2.95,-0.27792999148368835,574.0,73.86
2.96667,-0.33910998702049255,600.0,71.76
2.98333,-0.41572999954223633,689.0,70.08
3.0,-0.646340012550354,885.0,69.28
3.01667,-0.5850499868392944,716.0,72.09
3.03333,-0.42471998929977417,505.0,73.71
3.05,-0.4979200065135956,521.0,72.87
3.06667,-0.3518199920654297,390.0,76.77
3.08333,-0.34696000814437866,342.0,77.01
3.1,-0.35784000158309937,301.0,78.63
3.11667,-0.2758300006389618,213.0,82.91
3.13333,-0.1881999969482422,254.0,83.63
3.15,-0.2697699964046478,353.0,87.47
3.16667,-0.2737100124359131,326.0,85.03
3.18333,-0.11734999716281891,404.0,74.0
3.2,-0.09853000193834305,427.0,79.9
3.21667,-0.014259999617934227,336.0,83.36
3.23333,-0.004120000172406435,214.0,80.61
3.25,0.10924000293016434,162.0,83.22
3.26667,-0.06718000024557114,219.0,74.76
3.28333,-0.08498000353574753,240.0,82.7
3.3,-0.22930000722408295,239.0,78.24
3.31667,-0.2841300070285797,235.0,78.7
3.33333,-0.26214998960494995,228.0,78.03
3.35,-0.34782999753952026,307.0,76.12
3.36667,-0.3695499897003174,262.0,77.58
3.38333,-0.48934999108314514,263.0,76.02
3.4,-0.46285998821258545,198.0,80.19
3.41667,-0.49279001355171204,194.0,82.1
3.43333,-0.4842100143432617,161.0,84.66
3.45,-0.300790011882782,158.0,83.27
3.46667,-0.2486100047826767,227.0,82.16
3.48333,-0.4608300030231476,272.0,80.76
3.5,-0.43255001306533813,117.0,84.38
3.51667,-0.3707900047302246,146.0,81.43
3.53333,-0.24500000476837158,189.0,79.41
3.55,-0.19027000665664673,200.0,77.29
3.56667,-0.13871000707149506,137.0,80.44
3.58333,-0.24672000110149384,225.0,80.68
3.6,-0.29993999004364014,215.0,83.26
3.61667,-0.06185000017285347,328.0,81.51
3.63333,-0.053050000220537186,362.0,84.97
3.65,0.08257000148296356,331.0,85.76
3.66667,0.29462000727653503,289.0,85.69
3.68333,0.3425599932670593,322.0,85.14
3.7,0.05900999903678894,336.0,85.46
3.71667,0.07103999704122543,420.0,83.98
3.73333,0.08122999966144562,497.0,82.35
3.75,-0.010230000130832195,548.0,80.73
3.76667,0.04839000105857849,622.0,77.25
3.78333,0.06122000142931938,679.0,75.91
3.8,-0.05722999945282936,721.0,76.35
3.81667,-0.2269199937582016,762.0,75.15
3.83333,-0.5080199837684631,770.0,75.55
3.85,-0.4169600009918213,789.0,74.88
3.86667,-0.29460999369621277,734.0,76.45
3.88333,-0.46349000930786133,668.0,76.76
3.9,-0.44624999165534973,557.0,78.06
3.91667,-0.5147500038146973,528.0,74.56
3.93333,-0.3807699978351593,442.0,76.34
3.95,-0.4210900068283081,441.0,76.62
3.96667,-0.47890999913215637,396.0,76.37
3.98333,-0.45559999346733093,297.0,78.69
4.0,-0.3812200129032135,342.0,78.53
4.01667,-0.34040001034736633,306.0,76.2
4.03333,-0.209089994430542,390.0,80.17
4.05,-0.20991000533103943,410.0,77.62
4.06667,-0.28769001364707947,406.0,79.51
4.08333,-0.23569999635219574,402.0,79.21
4.1,-0.06663999706506729,258.0,86.88
4.11667,-0.09049999713897705,321.0,87.52
4.13333,-0.1133200004696846,395.0,87.65
4.15,-0.09171000123023987,415.0,85.52
4.16667,0.12312000244855881,324.0,83.49
4.18333,0.2850300073623657,312.0,81.67
4.2,0.1556600034236908,309.0,80.15
4.21667,0.1257999986410141,328.0,79.3
4.23333,0.10478000342845917,322.0,81.94
4.25,0.21815000474452972,340.0,77.04
4.26667,0.19256000220775604,287.0,78.74
4.28333,0.08832000195980072,272.0,80.69
4.3,0.13258999586105347,289.0,78.74
4.31667,0.1795700043439865,301.0,77.01
4.33333,0.14600999653339386,355.0,73.87
4.35,0.12598000466823578,386.0,73.65
4.36667,0.13950000703334808,434.0,74.39
4.38333,0.07819999754428864,464.0,73.6
4.4,0.07626999914646149,396.0,76.52
4.41667,0.012109999544918537,482.0,76.08
4.43333,-0.04438000172376633,525.0,75.18
4.45,-0.10555999726057053,438.0,71.69
4.46667,-0.04303000122308731,323.0,78.68
4.48333,-0.18682999908924103,479.0,79.57
4.5,-0.20935000479221344,355.0,80.36
4.51667,-0.2319200038909912,383.0,80.05
4.53333,-0.26752999424934387,278.0,81.53
4.55,-0.27292999625205994,241.0,81.84
4.56667,-0.29366999864578247,226.0,82.79
4.58333,-0.2983100116252899,211.0,84.33
4.6,-0.36390000581741333,229.0,82.1
4.61667,-0.3837200105190277,202.0,83.44
4.63333,-0.4166199862957001,190.0,84.69
4.65,-0.467960000038147,210.0,85.92
4.66667,-0.35190001130104065,163.0,84.1
4.68333,-0.2607699930667877,172.0,85.44
4.7,-0.17576000094413757,171.0,86.37
4.71667,-0.14399999380111694,215.0,85.49
4.73333,-0.0005000000237487257,267.0,86.99
4.75,-0.03269999846816063,302.0,81.28
4.76667,-0.11783000081777573,490.0,77.09
4.78333,-0.21310000121593475,612.0,80.51
4.8,-0.2858799993991852,572.0,76.27
4.81667,-0.3191399872303009,489.0,79.69
4.83333,-0.4303300082683563,499.0,80.45
4.85,-0.4231700003147125,277.0,85.21
4.86667,-0.5682899951934814,498.0,79.12
4.88333,-0.5508000254631042,301.0,83.42
4.9,-0.5670099854469299,249.0,86.1
4.91667,-0.6744400262832642,229.0,85.38
4.93333,-0.7082700133323669,302.0,85.39
4.95,-0.8254899978637695,243.0,84.1
4.96667,-0.8471400141716003,284.0,83.96
4.98333,-0.8302599787712097,288.0,84.75
5.0,-0.6682299971580505,545.0,87.81
5.01667,-0.5493500232696533,334.0,84.99
5.03333,-0.39625999331474304,280.0,85.11
5.05,-0.49375998973846436,331.0,83.61
5.06667,-0.5004500150680542,310.0,83.08
5.08333,-0.7332000136375427,440.0,79.75
5.1,-0.6843900084495544,357.0,81.65
5.11667,-0.7872899770736694,345.0,82.46
5.13333,-0.8670499920845032,331.0,83.29
5.15,-1.0236400365829468,346.0,80.59
5.16667,-0.9331600069999695,289.0,83.96
5.18333,-1.0976099967956543,456.0,81.33
5.2,-0.9532700181007385,366.0,79.97
5.21667,-0.8181599974632263,252.0,84.03
5.23333,-0.7433900237083435,292.0,81.52
5.25,-0.6319800019264221,202.0,83.52
5.26667,-0.6270400285720825,240.0,83.46
5.28333,-0.6040199995040894,167.0,84.78
5.3,-0.6978200078010559,307.0,82.78
5.31667,-0.8781899809837341,390.0,79.78
5.33333,-0.8623700141906738,317.0,83.53
5.35,-0.8537399768829346,275.0,85.04
5.36667,-0.8203799724578857,162.0,83.11
5.38333,-0.8093199729919434,203.0,79.69
5.4,-0.8624299764633179,189.0,85.44
5.41667,-0.8898500204086304,172.0,81.54
5.43333,-0.9411900043487549,181.0,83.16
5.45,-1.0324300527572632,280.0,85.4
5.46667,-1.138010025024414,334.0,85.51
5.48333,-1.1317399740219116,418.0,86.16
5.5,-1.1038800477981567,481.0,87.33
5.51667,-0.9069300293922424,616.0,88.1
5.53333,-0.5297200083732605,481.0,87.36
5.55,-0.24476000666618347,276.0,87.21
5.56667,-0.17688000202178955,218.0,87.96
5.58333,-0.065140001475811,169.0,86.96
5.6,0.04312000051140785,214.0,89.55
5.61667,0.1696700006723404,241.0,86.24
5.63333,0.3134399950504303,326.0,85.71
5.65,0.3196699917316437,293.0,85.42
5.66667,0.3571000099182129,392.0,84.46
5.68333,0.29829999804496765,350.0,83.73
5.7,0.1230200007557869,475.0,82.82
5.71667,0.06827999651432037,486.0,82.63
5.73333,0.07373999804258347,387.0,81.99
5.75,-0.054659999907016754,451.0,80.64
5.76667,-0.0024399999529123306,316.0,81.06
5.78333,0.061719998717308044,341.0,82.7
5.8,0.016699999570846558,409.0,80.93
5.81667,0.0032599999103695154,471.0,82.13
5.83333,0.07129000127315521,578.0,82.33
5.85,0.21922999620437622,716.0,83.38
5.86667,0.41940999031066895,757.0,83.58
5.88333,0.30404001474380493,727.0,82.91
5.9,0.18862999975681305,503.0,84.18
5.91667,0.16303999722003937,670.0,80.29
5.93333,0.3459300100803375,442.0,83.26
5.95,0.43880999088287354,411.0,84.2
5.96667,0.4962800145149231,432.0,85.8
5.98333,0.5918200016021729,545.0,84.28
6.0,0.9173200130462646,622.0,85.04
6.01667,1.1135799884796143,632.0,87.4
6.03333,1.1225700378417969,659.0,87.7
6.05,1.0111600160598755,552.0,86.17
6.06667,0.8398100137710571,495.0,83.59
6.08333,0.9559999704360962,477.0,81.5
6.1,0.8835499882698059,575.0,77.34
6.11667,0.5149499773979187,728.0,75.55
6.13333,0.6006100177764893,605.0,76.54
6.15,0.6146199703216553,380.0,77.62
6.16667,0.5842800140380859,314.0,77.44
6.18333,0.43066999316215515,373.0,74.7
6.2,0.3450700044631958,317.0,75.13
6.21667,0.28633999824523926,185.0,78.52
6.23333,0.18544000387191772,208.0,78.02
6.25,0.11078999936580658,384.0,79.18
6.26667,-0.10898999869823456,418.0,78.21
6.28333,-0.3533399999141693,210.0,79.95
6.3,-0.43154001235961914,183.0,83.97
6.31667,-0.32787999510765076,308.0,84.43
6.33333,-0.17445999383926392,370.0,87.35
6.35,-0.343860000371933,440.0,87.02
6.36667,-0.39862000942230225,453.0,86.16
6.38333,-0.4623599946498871,362.0,86.47
6.4,-0.42778000235557556,444.0,85.49
6.41667,-0.08765000104904175,616.0,77.99
6.43333,0.34867000579833984,436.0,80.73
6.45,0.290910005569458,488.0,78.31
6.46667,0.41442999243736267,328.0,81.82
6.48333,0.4294700026512146,330.0,82.89
6.5,0.40821999311447144,283.0,84.59
6.51667,0.4130200147628784,316.0,83.54
6.53333,0.460750013589859,302.0,85.53
6.55,0.3324199914932251,366.0,83.76
6.56667,0.43443000316619873,345.0,84.52
6.58333,0.38635000586509705,478.0,84.12
6.6,0.3032200038433075,448.0,84.58
6.61667,0.2915000021457672,453.0,81.05
6.63333,0.1718900054693222,458.0,81.27
6.65,0.25220999121665955,384.0,80.31
6.66667,0.1863500028848648,353.0,77.89
6.68333,0.21942000091075897,354.0,79.49
6.7,0.2507399916648865,272.0,77.39
6.71667,0.19715000689029694,249.0,78.89
6.73333,0.025219999253749847,327.0,77.79
6.75,0.03348999843001366,305.0,75.92
6.76667,0.01307000033557415,227.0,75.19
6.78333,0.08634000271558762,278.0,80.11
6.8,0.009159999899566174,306.0,79.7
6.81667,-0.12756000459194183,232.0,81.33
6.83333,-0.2171500027179718,238.0,82.76
6.85,-0.23794999718666077,311.0,81.18
6.86667,0.1311500072479248,514.0,83.16
6.88333,0.054919999092817307,446.0,87.58
6.9,-0.04447999969124794,535.0,86.31
6.91667,-0.26653000712394714,505.0,83.87
6.93333,-0.21001000702381134,548.0,84.82
6.95,-0.14104999601840973,443.0,86.82
6.96667,-0.2524000108242035,280.0,86.65
6.98333,-0.019840000197291374,463.0,85.32
7.0,0.4393799901008606,467.0,81.22
7.01667,0.4656600058078766,449.0,75.42
7.03333,0.3079800009727478,605.0,73.33
7.05,0.28209999203681946,610.0,72.27
7.06667,0.22863000631332397,603.0,72.97
7.08333,0.1391099989414215,592.0,71.29
7.1,0.18559999763965607,569.0,72.72
7.11667,1.0825599431991577,516.0,80.49
7.13333,1.1822500228881836,401.0,82.17
7.15,0.825439989566803,752.0,78.13
7.16667,0.7406700253486633,446.0,83.06
7.18333,0.48107001185417175,451.0,79.71
7.2,0.31867000460624695,342.0,85.13
7.21667,0.010350000113248825,271.0,85.23
7.23333,0.3458099961280823,535.0,74.61
7.25,0.3983300030231476,531.0,71.68
7.26667,0.33779001235961914,482.0,73.18
7.28333,0.17952999472618103,654.0,75.45
7.3,0.20755000412464142,604.0,79.49
7.31667,-0.23975999653339386,769.0,81.3
7.33333,0.1069599986076355,349.0,80.62
7.35,-0.08867000043392181,350.0,84.15
7.36667,-0.054430000483989716,242.0,83.66
7.38333,-0.10217999666929245,170.0,81.1
7.4,-0.12093000113964081,144.0,81.79
7.41667,-0.15473000705242157,381.0,73.92
7.43333,-0.3778199851512909,166.0,81.15
7.45,-0.3912400007247925,198.0,85.74
7.46667,-0.40369999408721924,188.0,87.04
7.48333,-0.15476000308990479,373.0,88.94
7.5,0.47227999567985535,355.0,87.57
7.51667,0.5992100238800049,209.0,84.08
7.53333,0.5096499919891357,243.0,81.72
7.55,0.2649500072002411,382.0,76.91
7.56667,0.1896899938583374,402.0,77.21
7.58333,0.0949999988079071,418.0,76.39
7.6,0.07943999767303467,338.0,79.23
7.61667,0.07810000330209732,133.0,84.84
7.63333,0.021299999207258224,233.0,74.86
7.65,-0.03203999996185303,180.0,79.1
7.66667,-0.11687000095844269,251.0,76.73
7.68333,-0.15553000569343567,219.0,78.97
7.7,-0.3628399968147278,338.0,79.08
7.71667,-0.452210009098053,348.0,76.56
7.73333,-0.4151799976825714,276.0,79.28
7.75,-0.412880003452301,184.0,82.38
7.76667,-0.4821299910545349,184.0,81.93
7.78333,-0.4479199945926666,253.0,78.11
7.8,-0.13794000446796417,351.0,84.88
7.81667,-0.3011600077152252,364.0,86.26
7.83333,-0.33910998702049255,355.0,85.46
7.85,-0.3912599980831146,440.0,83.16
7.86667,0.14790000021457672,287.0,86.31
7.88333,0.09464000165462494,349.0,86.19
7.9,-0.05928000062704086,473.0,84.09
7.91667,-0.035429999232292175,448.0,84.89
7.93333,-0.3457399904727936,700.0,76.88
7.95,-0.9889299869537354,706.0,76.48
7.96667,-1.0678800344467163,576.0,74.74
7.98333,-1.2129700183868408,355.0,79.65
8.0,-1.0602200031280518,464.0,78.13
8.01667,-0.7686300277709961,423.0,83.99
8.03333,-0.6773899793624878,338.0,85.15
8.05,-0.41725999116897583,322.0,84.59
8.06667,-0.4496600031852722,276.0,85.1
8.08333,-0.4571399986743927,405.0,82.0
8.1,-0.5691699981689453,415.0,82.81
8.11667,-0.38495999574661255,396.0,82.42
8.13333,-0.5548800230026245,456.0,79.36
8.15,-0.4641200006008148,306.0,83.41
8.16667,-0.506060004234314,330.0,82.77
8.18333,-0.7559599876403809,293.0,79.39
8.2,-0.7322900295257568,243.0,78.68
8.21667,-0.7185400128364563,178.0,82.43
8.23333,-0.7413399815559387,201.0,84.41
8.25,-0.7197499871253967,196.0,84.8
8.26667,-0.7508500218391418,262.0,85.22
8.28333,-0.6039199829101562,371.0,84.41
8.3,-0.2664499878883362,454.0,88.06
8.31667,-0.3701399862766266,508.0,89.3
8.33333,-0.1251399964094162,272.0,78.02
8.35,-0.16051000356674194,276.0,82.82
8.36667,-0.14057999849319458,226.0,85.37
8.38333,-0.14306999742984772,188.0,87.34
8.4,-0.2355699986219406,230.0,86.63
8.41667,-0.2999599874019623,254.0,83.26
8.43333,-0.2553600072860718,190.0,84.75
8.45,-0.25391000509262085,184.0,85.49
8.46667,-0.3119699954986572,272.0,84.37
8.48333,-0.3535900115966797,345.0,86.79
8.5,-0.24898000061511993,304.0,86.75
8.51667,-0.3396500051021576,330.0,87.54
8.53333,-0.3003099858760834,292.0,88.02
8.55,-0.3287999927997589,241.0,86.86
8.56667,-0.4027999937534332,167.0,83.29
8.58333,-0.3175399899482727,130.0,84.89
8.6,-0.3875499963760376,117.0,84.9
8.61667,-0.45434001088142395,90.0,84.1
8.63333,-0.4891600012779236,124.0,84.45
8.65,-0.5178200006484985,124.0,83.69
8.66667,-0.613860011100769,141.0,84.01
8.68333,-0.6592000126838684,279.0,86.44
8.7,-0.6172199845314026,354.0,87.4
8.71667,-0.7059500217437744,452.0,88.02
8.73333,-0.742110013961792,488.0,87.46
8.75,-0.7427499890327454,375.0,87.04
8.76667,-0.6889100074768066,623.0,88.73
8.78333,-0.7229999899864197,142.0,86.9
8.8,-0.7559900283813477,205.0,87.37
8.81667,-0.6497700214385986,115.0,85.87
8.83333,-0.49678999185562134,474.0,89.14
8.85,-0.5956100225448608,260.0,80.06
8.86667,-0.45107999444007874,214.0,85.5
8.88333,-0.3219200074672699,311.0,88.89
8.9,-0.2934899926185608,336.0,89.16
8.91667,-0.25999000668525696,343.0,89.58
8.93333,-0.2809099853038788,349.0,89.37
8.95,-0.26864001154899597,250.0,87.14
8.96667,-0.23407000303268433,91.0,85.03
8.98333,-0.23323999345302582,139.0,88.17
9.0,-0.25742000341415405,170.0,88.15
9.01667,-0.19535000622272491,139.0,88.06
9.03333,-0.1943800002336502,145.0,88.63
9.05,-0.10638999938964844,108.0,89.17
9.06667,0.03061000071465969,84.0,81.65
9.08333,0.07187999784946442,120.0,86.62
9.1,0.06373000144958496,96.0,89.79
9.11667,0.13689999282360077,103.0,88.32
9.13333,0.08720999956130981,244.0,80.75
9.15,0.062460001558065414,111.0,87.28
9.16667,0.0617000013589859,97.0,86.66
9.18333,0.02135000005364418,107.0,88.13
9.2,-0.004350000061094761,70.0,87.64
9.21667,-0.05293000116944313,114.0,90.99
9.23333,-0.16245999932289124,267.0,77.36
9.25,-0.36160001158714294,325.0,72.13
9.26667,-0.2504900097846985,226.0,72.04
9.28333,-0.19471000134944916,164.0,74.54
9.3,-0.08732999861240387,58.0,85.36
9.31667,-0.07659000158309937,102.0,88.15
9.33333,-0.05584999918937683,45.0,85.32
9.35,-0.010540000163018703,90.0,84.62
9.36667,0.0035200000274926424,55.0,87.54
9.38333,-0.021940000355243683,60.0,91.55
9.4,0.012839999981224537,78.0,86.34
9.41667,0.04904999956488609,92.0,84.83
9.43333,0.10217999666929245,110.0,88.68
9.45,0.1469999998807907,145.0,89.03
9.46667,0.13815000653266907,135.0,87.95
9.48333,0.1405400037765503,163.0,88.14
9.5,0.12358999997377396,175.0,89.35
9.51667,0.17291000485420227,113.0,87.42
9.53333,0.16471999883651733,138.0,87.45
9.55,0.15643000602722168,164.0,87.47
9.56667,0.17837999761104584,163.0,87.14
9.58333,0.1784300059080124,143.0,79.22
9.6,0.274509996175766,163.0,77.62
9.61667,0.34066998958587646,189.0,77.26
9.63333,0.3499000072479248,214.0,76.11
9.65,0.32405000925064087,188.0,77.75
9.66667,0.17125999927520752,165.0,88.06
9.68333,0.16211000084877014,130.0,87.35
9.7,0.15640999376773834,125.0,85.91
9.71667,0.1941400021314621,104.0,87.06
9.73333,0.16399000585079193,185.0,87.85
9.75,0.12081000208854675,123.0,87.77
9.76667,0.13687999546527863,127.0,87.95
9.78333,0.14842000603675842,145.0,87.33
9.8,0.1423099935054779,156.0,88.0
9.81667,0.060350000858306885,117.0,87.14
9.83333,0.038419999182224274,118.0,85.77
9.85,0.008949999697506428,164.0,87.4
9.86667,0.07468999922275543,246.0,88.92
9.88333,0.04786999896168709,168.0,85.87
9.9,0.20340000092983246,227.0,87.81
9.91667,0.41032999753952026,167.0,86.64
9.93333,0.5362399816513062,184.0,86.07
9.95,0.6287999749183655,411.0,87.88
9.96667,0.6503000259399414,240.0,85.54
9.98333,0.6262699961662292,286.0,86.93
10.0,0.6357499957084656,123.0,84.43
10.01667,0.661870002746582,195.0,85.95
10.03333,0.5474200248718262,107.0,84.17
10.05,0.4428600072860718,126.0,85.53
10.06667,0.42017999291419983,241.0,87.3
10.08333,0.3913399875164032,218.0,84.82
10.1,0.3945299983024597,126.0,81.98
10.11667,0.3815700113773346,110.0,82.67
10.13333,0.40128999948501587,150.0,85.02
10.15,0.3930799961090088,88.0,85.94
10.16667,0.4361500144004822,220.0,86.91
10.18333,0.48497000336647034,184.0,85.2
10.2,0.47808998823165894,260.0,87.99
10.21667,0.5205000042915344,95.0,83.79
10.23333,0.5591099858283997,83.0,84.53
10.25,0.584119975566864,210.0,86.41
10.26667,0.6109899878501892,286.0,87.87
10.28333,0.6927499771118164,431.0,88.54
